ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
1810,15764,1,1,1,1
1812,15764,0,1,0,1
1821,15764,1,1,1,1
1822,15764,1,1,1,1
1824,15764,1,1,1,1
1826,15764,1,1,1,1
1827,15764,1,1,1,1
1830,15764,1,1,1,1
1831,15764,1,1,1,1
1832,15764,1,1,1,1
1833,15764,1,1,1,1
1834,15764,1,1,1,1
1835,15764,1,1,1,1
1840,15764,1,1,1,1
1841,15764,1,1,1,1
1842,15764,1,1,1,1
1843,15764,1,1,1,1
1844,15764,1,1,1,1
1845,15764,1,1,1,1
1850,15764,1,1,1,1
1851,15764,1,1,1,1
1852,15764,1,1,1,1
1853,15764,1,1,1,1
1854,15764,1,1,1,1
1860,15764,1,1,1,1
1862,15764,1,1,1,1
1863,15764,1,1,1,1
1864,15764,1,1,1,1
1865,15764,1,1,1,1
1866,15764,0,0,1,1
1867,15764,1,1,1,1
1876,15764,1,1,1,1
1879,15764,1,1,1,1
1880,15764,1,1,1,1
1885,15764,0,0,1,1
1886,15764,1,1,1,1
1887,15764,1,1,1,1
1888,15764,1,1,1,1
1889,15764,0,1,1,1
1890,15764,1,1,1,1
1899,15764,0,1,0,1
1901,15764,1,1,1,1
1902,15764,1,1,1,1
1903,15764,1,1,1,1
1904,15764,1,1,1,1
1905,15764,1,1,1,1
1906,14454,0.000089526,0,0,0.000079586
1906,15764,0.999910474,1,1,0.999920414
1907,15764,1,1,1,1
1908,15764,1,1,1,1
1910,15764,0,1,0,1
1913,15764,1,1,1,1
1915,15764,1,1,1,1
1921,15764,1,1,1,1
1922,15764,1,1,1,1
1923,15764,1,1,1,1
1929,15764,1,1,1,1
1930,15764,1,1,1,1
1931,15764,1,1,1,1
1936,15764,1,1,1,1
1937,15764,0,0,1,1
1938,15764,1,1,1,1
1940,15764,1,1,1,1
1944,15764,1,1,1,1
1945,15764,1,1,1,1
1949,15764,1,1,1,1
1950,15764,1,1,1,1
1951,15764,1,1,1,1
1952,15764,1,1,1,1
1960,15764,1,1,1,1
1961,15764,1,1,1,1
1965,15764,1,1,1,1
1966,15764,1,1,1,1
1969,15764,1,1,1,1
1970,15764,1,1,1,1
1971,15764,1,1,1,1
1982,15764,1,1,1,1
1983,15764,1,1,1,1
1984,15764,1,1,1,1
1985,15764,1,1,1,1
2018,14454,1,1,1,1
2019,14454,1,1,1,1
2020,14454,1,1,1,1
2021,14454,1,1,1,1
2025,14454,1,1,1,1
2026,14454,1,1,1,1
2027,14454,1,1,1,1
2030,14454,0.995310668,1,1,0.995634776
2030,15764,0.004689332,0,0,0.004365224
2032,14454,1,1,1,1
2035,14454,1,1,1,1
2038,14454,1,1,1,1
2041,14454,1,1,1,1
2043,14454,1,1,1,1
2044,14454,0,1,0,1
2045,14454,1,1,1,1
2047,14454,1,1,1,1
2048,39300,0.999052223,1,1,0.999153618
2048,14454,0.000947777,0,0,0.000846382
2050,14454,1,1,1,1
2051,14454,1,1,1,1
2052,14454,1,1,1,1
2053,14454,1,1,1,1
2054,15764,0.009403468,0,0,0.00847009
2054,14454,0.990596532,1,1,0.99152991
2056,14454,1,1,1,1
2059,14454,0,0,1,1
2060,14454,1,1,1,1
2061,14454,1,1,1,1
2062,14454,1,1,1,1
2065,14454,1,1,1,1
2066,14454,1,1,1,1
2067,14454,1,1,1,1
2070,14454,0,0,1,1
2071,14454,1,1,1,1
2072,14454,1,1,1,1
2081,14454,1,1,1,1
2090,14454,1,1,1,1
